article_id,n_events,dominant_type,nmf_topic,nmf_label,nmf_score,louvain_community,louvain_label,hdbscan_cluster,hdbscan_label,x_2d,y_2d
699c9654bf23573ae1689e1f,5,Event,7,vigilance | départements | garonne | france,0.032,1930,électricité | vienne | située,1,france | provoquer | attaquant,4.8593,10.3169
699c98acbf23573ae1689e20,3,Event,8,trump | donald | donald trump | américain,0.0539,1931,sens | requête | relance,1,france | provoquer | attaquant,23.1938,4.2564
699c9b04bf23573ae1689e21,6,Event,18,loi | nationale | assemblée | assemblée nationale,0.0274,1932,danger | ensuite | revenu,1,france | provoquer | attaquant,22.8981,3.9622
699c9d5dbf23573ae1689e22,1,Event,13,monde | tribune | tribune monde | hui,0.0656,1933,titres | sélection | semaine,1,france | provoquer | attaquant,-0.7316,9.179
699ca20dbf23573ae1689e24,1,Event,18,loi | nationale | assemblée | assemblée nationale,0.0756,1934,vénézuélien | saab | rodriguez,1,france | provoquer | attaquant,8.2744,-11.9191
699ca20dbf23573ae1689e25,3,Event,6,militant | deranque | mort | quentin,0.1,1935,personnes | parole | porte,1,france | provoquer | attaquant,-4.3242,13.8468
699ca20dbf23573ae1689e23,4,Event,8,trump | donald | donald trump | américain,0.0977,1936,marin | provoque | nuuk,1,france | provoquer | attaquant,10.7738,-7.3801
699ca20dbf23573ae1689e26,10,Event,12,ukraine | russie | russe | guerre,0.0794,72,ukraine | russie | kiev,1,france | provoquer | attaquant,10.7785,-0.9499
699ca465bf23573ae1689e27,3,Event,16,mencho | el mencho | el | oseguera,0.0941,1937,membres | responsables | bilan,1,france | provoquer | attaquant,16.1126,0.8688
699ca915bf23573ae1689e28,9,Event,6,militant | deranque | mort | quentin,0.1599,1938,interpellées | mises | mort,1,france | provoquer | attaquant,5.8814,-0.1754
699cab6dbf23573ae1689e29,5,Event,11,internationale | spatiale | française | station,0.0383,1939,reflet | recensements | atlantique,1,france | provoquer | attaquant,10.5976,6.1366
699cadc5bf23573ae1689e2a,1,Event,16,mencho | el mencho | el | oseguera,0.0574,1940,éteint | tromboniste | producteur,1,france | provoquer | attaquant,23.8739,3.1566
699cb01dbf23573ae1689e2b,2,Event,15,epstein | jeffrey | jeffrey epstein | andrew,0.0269,1941,élémentaires | savoir | ambassadeur,0,président | pourrait | contre,-6.6178,-2.7428
699cb01dbf23573ae1689e2c,6,Event,2,contre | annoncé | israël | dimanche,0.0202,1942,sécuriser | coupe | entrée,1,france | provoquer | attaquant,10.5701,0.9748
699cb275bf23573ae1689e2d,6,Event,13,monde | tribune | tribune monde | hui,0.0223,1943,outils | sentiment | réduit,1,france | provoquer | attaquant,15.7544,0.67
699cb275bf23573ae1689e2e,3,Event,6,militant | deranque | mort | quentin,0.1641,1944,juste | sécurité | samedi,1,france | provoquer | attaquant,2.751,0.125
699cb275bf23573ae1689e2f,2,Event,13,monde | tribune | tribune monde | hui,0.0952,1945,satellites | révèlent | moyens,1,france | provoquer | attaquant,12.4504,15.2632
699cb275bf23573ae1689e30,8,Event,18,loi | nationale | assemblée | assemblée nationale,0.0718,1946,annonce | beaucoup | réagi,1,france | provoquer | attaquant,8.9533,1.3121
699cb4cebf23573ae1689e31,5,Event,8,trump | donald | donald trump | américain,0.1377,1947,cour | invalider | suprême,1,france | provoquer | attaquant,23.7837,-3.677
699cb726bf23573ae1689e32,4,Event,18,loi | nationale | assemblée | assemblée nationale,0.1961,1948,devrait | texte | justice,1,france | provoquer | attaquant,1.1059,8.8405
699cb97ebf23573ae1689e33,4,Event,6,militant | deranque | mort | quentin,0.179,1949,français | accéder | concernant,0,président | pourrait | contre,-9.1213,1.0713
699cb97ebf23573ae1689e34,5,Event,10,unis | etats | etats unis | états unis,0.1226,1950,notamment | tensions | persistantes,0,président | pourrait | contre,-6.2647,-1.2303
699cbe2ebf23573ae1689e36,1,Event,13,monde | tribune | tribune monde | hui,0.0123,1951,écrivaine | soin | prend,1,france | provoquer | attaquant,8.5183,-12.9001
699cbe2ebf23573ae1689e35,6,Event,17,ministre | première | paris | france,0.031,1952,preuve | fonction | malgré,1,france | provoquer | attaquant,10.8254,5.8353
699cc2debf23573ae1689e37,4,Event,12,ukraine | russie | russe | guerre,0.0924,1953,jour | volontaires | coalition,0,président | pourrait | contre,-6.3515,-1.2883
699cc537bf23573ae1689e39,5,Event,2,contre | annoncé | israël | dimanche,0.0222,1954,évacuées | sauves | contrôle,1,france | provoquer | attaquant,3.2442,-9.8628
